from;to;week;year;passengers
DE;AO;8;2016;0
DE;AO;9;2016;0
DE;AO;10;2016;0
DE;AO;11;2016;0
DE;AO;12;2016;0
DE;AO;13;2016;0
DE;AO;14;2016;0
DE;AO;15;2016;0
DE;AO;16;2016;0
DE;AO;17;2016;0
DE;AO;18;2016;0
DE;AO;19;2016;0
DE;AO;20;2016;0
DE;AO;21;2016;0
DE;AO;22;2016;0
DE;AO;23;2016;0
DE;AO;24;2016;0
DE;AO;25;2016;0
DE;AO;26;2016;0
DE;AO;27;2016;0
DE;AO;28;2016;0
DE;AO;29;2016;0
DE;AO;30;2016;0
DE;AO;31;2016;0
DE;AO;32;2016;0
DE;AO;33;2016;0
DE;AO;34;2016;0
DE;AO;35;2016;0
DE;AO;36;2016;0
DE;AO;37;2016;0
DE;AO;38;2016;0
DE;AO;39;2016;0
DE;AO;40;2016;0
DE;AO;41;2016;0
DE;AO;42;2016;0
DE;AO;43;2016;0
DE;AO;44;2016;0
DE;AO;45;2016;0
DE;AO;46;2016;0
DE;AO;47;2016;0
DE;AO;48;2016;0
DE;AO;49;2016;0
DE;AO;50;2016;0
DE;AO;51;2016;0
DE;AO;52;2016;0
DE;AQ;1;2016;0
DE;AQ;2;2016;0
DE;AQ;3;2016;0
DE;AQ;4;2016;0
DE;AQ;5;2016;0
DE;AQ;6;2016;0
DE;AQ;7;2016;0
DE;AQ;8;2016;0
DE;AQ;9;2016;0
DE;AQ;10;2016;0
DE;AQ;11;2016;0
DE;AQ;12;2016;0
DE;AQ;13;2016;0
DE;AQ;14;2016;0
DE;AQ;15;2016;0
DE;AQ;16;2016;0
DE;AQ;17;2016;0
DE;AQ;18;2016;0
DE;AQ;19;2016;0
DE;AQ;20;2016;0
DE;AQ;21;2016;0
DE;AQ;22;2016;0
DE;AQ;23;2016;0
DE;AQ;24;2016;0
DE;AQ;25;2016;0
DE;AQ;26;2016;0
DE;AQ;27;2016;0
DE;AQ;28;2016;0
DE;AQ;29;2016;0
DE;AQ;30;2016;0
DE;AQ;31;2016;0
DE;AQ;32;2016;0
DE;AQ;33;2016;0
DE;AQ;34;2016;0
DE;AQ;35;2016;0
DE;AQ;36;2016;0
DE;AQ;37;2016;0
DE;AQ;38;2016;0
DE;AQ;39;2016;0
DE;AQ;40;2016;0
DE;AQ;41;2016;0
DE;AQ;42;2016;0
DE;AQ;43;2016;0
DE;AQ;44;2016;0
DE;AQ;45;2016;0
DE;AQ;46;2016;0
DE;AQ;47;2016;0
DE;AQ;48;2016;0
DE;AQ;49;2016;0
DE;AQ;50;2016;0
DE;AQ;51;2016;0
DE;AQ;52;2016;0
DE;AR;1;2016;0
DE;AR;2;2016;0
DE;AR;3;2016;0
DE;AR;4;2016;0
DE;AR;5;2016;0
DE;AR;6;2016;0
DE;AR;7;2016;0
DE;AR;8;2016;0
DE;AR;9;2016;0
DE;AR;10;2016;0
DE;AR;11;2016;0
DE;AR;12;2016;0
DE;AR;13;2016;0
DE;AR;14;2016;0
DE;AR;15;2016;0
DE;AR;16;2016;0
DE;AR;17;2016;0
DE;AR;18;2016;0
DE;AR;19;2016;0
