from;to;week;year;passengers
WS;AQ;50;2016;0
WS;AQ;51;2016;0
WS;AQ;52;2016;0
WS;AR;1;2016;0
WS;AR;2;2016;0
WS;AR;3;2016;0
WS;AR;4;2016;0
WS;AR;5;2016;0
WS;AR;6;2016;0
WS;AR;7;2016;0
WS;AR;8;2016;0
WS;AR;9;2016;0
WS;AR;10;2016;0
WS;AR;11;2016;0
WS;AR;12;2016;0
WS;AR;13;2016;0
WS;AR;14;2016;0
WS;AR;15;2016;0
WS;AR;16;2016;0
WS;AR;17;2016;0
WS;AR;18;2016;0
WS;AR;19;2016;0
WS;AR;20;2016;0
WS;AR;21;2016;0
WS;AR;22;2016;0
WS;AR;23;2016;0
WS;AR;24;2016;0
WS;AR;25;2016;0
WS;AR;26;2016;0
WS;AR;27;2016;0
WS;AR;28;2016;0
WS;AR;29;2016;0
WS;AR;30;2016;0
WS;AR;31;2016;0
WS;AR;32;2016;0
WS;AR;33;2016;0
WS;AR;34;2016;0
WS;AR;35;2016;0
WS;AR;36;2016;0
WS;AR;37;2016;0
WS;AR;38;2016;0
WS;AR;39;2016;0
WS;AR;40;2016;0
WS;AR;41;2016;0
WS;AR;42;2016;0
WS;AR;43;2016;0
WS;AR;44;2016;0
WS;AR;45;2016;0
WS;AR;46;2016;0
WS;AR;47;2016;0
WS;AR;48;2016;0
WS;AR;49;2016;0
WS;AR;50;2016;0
WS;AR;51;2016;0
WS;AR;52;2016;0
WS;AS;1;2016;0
WS;AS;2;2016;0
WS;AS;3;2016;0
WS;AS;4;2016;0
WS;AS;5;2016;0
WS;AS;6;2016;0
WS;AS;7;2016;0
WS;AS;8;2016;0
WS;AS;9;2016;0
WS;AS;10;2016;0
WS;AS;11;2016;0
WS;AS;12;2016;0
WS;AS;13;2016;0
WS;AS;14;2016;0
WS;AS;15;2016;0
WS;AS;16;2016;0
WS;AS;17;2016;0
WS;AS;18;2016;0
WS;AS;19;2016;0
WS;AS;20;2016;0
WS;AS;21;2016;0
