"country_num" "week" "infected_number" "infected_percentage" "code"
"280" 38 3 58.5903606698838 0.0000907253407941712 "FRA"
"281" 39 3 0 0 "GUF"
"282" 40 3 6.98602098598241 0.000175537824467789 "GEO"
"283" 41 3 10.9316266335269 0.0000135573672185913 "DEU"
"284" 42 3 0 0 "GHA"
"285" 43 3 49.9001498995928 0.000456983719610951 "GRC"
"286" 44 3 1.99600599598502 0.000424188443659193 "GLP"
"287" 45 3 1.99600599600152 0.0000119715184038243 "GTM"
"288" 46 3 9.98002997998561 0.000121863712819445 "HND"
"289" 47 3 0 0 "HUN"
"290" 48 3 3.99201199190769 0.00120321781188255 "ISL"
"291" 49 3 2.99378726218424 0.000000225634661322058 "IND"
"292" 50 3 30.9293582477431 0.000011870450380965 "IDN"
"293" 51 3 15.9680479680024 0.000042527382294617 "IRQ"
"294" 52 3 103.792311787522 0.00220179180977829 "IRL"
"295" 53 3 168.662506655207 0.0020587521317485 "ISR"
"296" 54 3 13.9092068152356 0.0000232477233736139 "ITA"
"297" 55 3 0.998002998000288 0.0000356002185233405 "JAM"
"298" 56 3 206.423016627179 0.000163411771838147 "JPN"
"299" 57 3 38.922116921647 0.000502363469909484 "JOR"
"300" 58 3 57.7745008527668 0.000323675665456961 "KAZ"
"301" 59 3 0.998002998000958 0.00000211211088574439 "KEN"
"302" 60 3 15.9680479679313 0.000264644668497108 "KGZ"
"303" 61 3 16.9660509657219 0.000867499443470657 "LVA"
"304" 62 3 4.99001498999666 0.0000833314544567693 "LBN"
"305" 63 3 3.99201199199279 0.000140069121798465 "LTU"
"306" 64 3 3.99201199194855 0.000692765377097605 "LUX"
"307" 65 3 3.99201199200272 0.0000160219959510175 "MDG"
"308" 66 3 3.99201199200296 0.0000129814765162575 "MYS"
"309" 67 3 0 0 "MDV"
"310" 68 3 0.99800299800089 0.00000550323726684522 "MLI"
"311" 69 3 23.9520719492827 0.0057081067047848 "MLT"
"312" 70 3 4.99001498987904 0.00125894758098088 "MTQ"
"313" 71 3 0 0 "MRT"
"314" 72 3 11.9760359757869 0.000937488872502905 "MUS"
"315" 73 3 96.7332132293028 0.0000752135465270199 "MEX"
"316" 74 3 33.7993055932326 0.00112643175060531 "MNG"
"317" 75 3 0 0 "MNE"
"318" 76 3 6.98602098600419 0.0000200649336352854 "MAR"
"319" 77 3 0 0 "MOZ"
"320" 78 3 0 0 "MMR"
"321" 79 3 46.9061409058941 0.00016258223636485 "NPL"
"322" 80 3 56.8861708856749 0.000335024021205962 "NLD"
"323" 81 3 0.998002997993505 0.000374582161232553 "NCL"
"324" 82 3 0 0 "NZL"
"325" 83 3 4.99001498999688 0.0000811379933609627 "NIC"
"326" 84 3 1.99543886641946 0.00000963542345335109 "NER"
"327" 85 3 2.9940089940029 0.00000160118081971201 "NGA"
"328" 86 3 347.614272667055 0.00651911869985782 "NOR"
"329" 87 3 124.750374743421 0.00268022670553584 "OMN"
"330" 88 3 35.9281079280226 0.0000186323495761089 "PAK"
"331" 89 3 8.98202698196846 0.000225090554243565 "PAN"
"332" 90 3 0.998002998000703 0.0000148392444498077 "PRY"
"333" 91 3 0.998002998000937 0.00000314092003188414 "PER"
"334" 92 3 0.0000000396079714037295 0.0000000000000387463786433593 "PHL"
"335" 93 3 0.998002998000948 0.00000258595816497371 "POL"
"336" 94 3 87.4562905898264 0.000852250643160076 "PRT"
